TIGR00001	50S ribosomal protein L35
TIGR04219	TIGR04219 family outer membrane beta-barrel protein
TIGR04220	cyanobactin biosynthesis system PatB/AcyB/McaB family protein
TIGR04221	accessory Sec system translocase SecA2
TIGR04222	TIGR04222 domain-containing membrane protein
TIGR04223	cyclic lactone autoinducer peptide
TIGR04224	serine-rich glycoprotein adhesin
TIGR04226	isopeptide-forming domain-containing fimbrial protein
TIGR04229	geopeptide
TIGR04234	RNA-directed RNA polymerase
TIGR04239	rhomboid family intramembrane serine protease GlpG
TIGR04242	chitooligosaccharide synthase NodC
TIGR04243	chitooligosaccharide deacetylase NodB
TIGR04244	TAT-dependent nitrous-oxide reductase
TIGR04245	NodA family N-acyltransferase
TIGR04246	Sec-dependent nitrous-oxide reductase
TIGR04247	nitrous oxide reductase family maturation protein NosD
TIGR04248	SynChlorMet cassette protein ScmD
TIGR04249	SynChlorMet cassette protein ScmC
TIGR04250	SynChlorMet cassette radical SAM/SPASM protein ScmE
TIGR04251	SynChlorMet cassette radical SAM/SPASM protein ScmF
TIGR04252	SynChlorMet cassette protein ScmA
TIGR04253	2-methylfumaryl-CoA isomerase
TIGR04254	putative globular PEP-CTERM protein
TIGR04255	TIGR04255 family protein
TIGR04256	GxxExxY protein
TIGR04259	oxalate/formate MFS antiporter
TIGR04260	rSAM-associated Gly-rich repeat protein
TIGR04261	GRRM system radical SAM/SPASM domain protein
TIGR04264	hyperosmolarity resistance protein Ebh
TIGR04265	cardiolipin synthase
TIGR04266	NDMA-dependent methanol dehydrogenase
TIGR04268	FXSXX-COOH protein
TIGR04269	FxsB family radical SAM/SPASM domain protein
TIGR04270	methylamine methyltransferase corrinoid protein reductive activase
TIGR04273	Ax21 family protein
TIGR04274	DNA-deoxyinosine glycosylase
TIGR04277	tetrahymanol synthase
TIGR04278	antiviral radical SAM protein viperin
TIGR04279	TIGR04279 domain-containing protein
TIGR04280	putative geopeptide radical SAM maturase
TIGR04284	aldehyde dehydrogenase
TIGR04285	nucleoid occlusion protein
TIGR04286	MSEP-CTERM sorting domain-containing protein
TIGR04287	exosortase K
TIGR04288	CGP-CTERM sorting domain-containing protein
TIGR04289	eight-cysteine-cluster domain-containing protein
TIGR04290	TIGR04290 family methyltransferase
TIGR04291	arsenical pump-driving ATPase
TIGR04293	archaeosortase family protein ArtF
TIGR04295	TIGR04295 family B12-binding domain-containing radical SAM protein
TIGR04296	PEFG-CTERM sorting domain-containing protein
TIGR04297	thaumarchaeosortase
TIGR04298	histidine-histamine antiporter
TIGR04299	putrescine-ornithine antiporter
TIGR04300	exosortase family protein XrtM
TIGR04301	ornithine decarboxylase SpeF
TIGR04302	GeoRSP system PqqD family peptide chaperone
TIGR04303	GeoRSP system radical SAM/SPASM protein
TIGR04304	GeoRSP system SPASM domain protein
TIGR04305	CADD family putative folate metabolism protein
TIGR04306	thiaminase II
TIGR04309	amanitin/phalloidin family toxin
TIGR04310	pantocin A family RiPP
TIGR04312	choice-of-anchor B family protein
TIGR04314	methanogenesis multiheme c-type cytochrome
TIGR04315	tetrathionate reductase family octaheme c-type cytochrome
TIGR04316	2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase
TIGR04317	tungsten cofactor oxidoreductase radical SAM maturase
TIGR04318	putative ornithine decarboxylase
TIGR04320	SEC10/PgrA surface exclusion domain-containing protein
TIGR04321	spiro-SPASM protein
TIGR04322	7-carboxy-7-deazaguanine synthase QueE
TIGR04325	methyltransferase, TIGR04325 family
TIGR04328	type V CRISPR-associated protein Cas4
TIGR04329	type V CRISPR-associated endonuclease Cas1
TIGR04330	type V CRISPR-associated protein Cpf1
TIGR04332	poly-gamma-glutamate system protein
TIGR04333	Clo7bot family Cys-rich peptide
TIGR04334	radical SAM/SPASM domain Clo7bot peptide maturase
TIGR04335	AmmeMemoRadiSam system protein A
TIGR04336	AmmeMemoRadiSam system protein B
TIGR04337	AmmeMemoRadiSam system radical SAM enzyme
TIGR04338	TIGR04338 family metallohydrolase
TIGR04340	radical SAM/SPASM domain protein, ACGX system
TIGR04341	ACGX-repeat peptide
TIGR04342	EXLDI protein
TIGR04343	ergothioneine biosynthesis PLP-dependent enzyme EgtE
TIGR04344	5-histidylcysteine sulfoxide synthase
TIGR04345	putative 4-mercaptohistidine N1-methyltransferase
TIGR04348	TIGR04348 family glycosyltransferase
TIGR04349	7-carboxy-7-deazaguanine synthase QueE
TIGR04350	putative C-S lyase
TIGR04351	putative TOMM peptide
TIGR04352	HprK-related kinase A
TIGR04353	HPr-rel-A system PqqD family peptide chaperone
TIGR04354	amphi-Trp domain-containing protein
TIGR04355	HprK-related kinase B
TIGR04356	GAK system ATP-grasp enzyme
TIGR04357	GAK system CofD-like protein
TIGR04358	GAK system XXXCH domain-containing protein
TIGR04359	entry exclusion lipoprotein TrbK
TIGR04361	entry exclusion protein TrbK
TIGR04362	choice-of-anchor C family protein
TIGR04363	FxLD family lantipeptide
TIGR04364	methyltransferase, FxLD system
TIGR04365	autonomous glycyl radical cofactor GrcA
TIGR04366	cupin fold metalloprotein, WbuC family
TIGR04367	hopanoid C-3 methylase HpnR
TIGR04368	glutamate 2,3-aminomutase
TIGR04370	oligosaccharide repeat unit polymerase
TIGR04371	putative sugar O-methyltransferase
TIGR04372	TIGR04372 family glycosyltransferase
TIGR04376	TIGR04376 family protein
TIGR04377	3D-(3,5/4)-trihydroxycyclohexane-1,2-dione acylhydrolase (decyclizing)
TIGR04378	5-deoxy-glucuronate isomerase
TIGR04379	myo-inosose-2 dehydratase
TIGR04380	inositol 2-dehydrogenase
TIGR04382	5-dehydro-2-deoxygluconokinase
TIGR04383	processed acidic surface protein
TIGR04384	putrescine carbamoyltransferase
TIGR04385	B12 lower ligand biosynthesis radical SAM protein BzaD
TIGR04386	B12 lower ligand biosynthesis ThiC-like protein BzaB
TIGR04387	N4-gp56 family major capsid protein
TIGR04388	TIGR04388 family protein
TIGR04389	lipoprotein, tandem type
TIGR04390	YaiO family outer membrane beta-barrel protein
TIGR04391	CcmD family protein
TIGR04392	hydroxylamine oxidation protein HaoB
TIGR04394	choline trimethylamine-lyase
TIGR04395	choline TMA-lyase-activating enzyme
TIGR04397	accessory Sec system translocase SecA2
TIGR04398	SLAP domain-containing protein
TIGR04399	accessory Sec system S-layer assembly protein
TIGR04401	Csp1 family four helix bundle copper storage protein
TIGR04403	sporulation killing factor system radical SAM maturase
TIGR04404	sporulation killing factor
TIGR04405	sporulation killing factor system integral membrane protein
TIGR04406	LPS export ABC transporter ATP-binding protein
TIGR04407	LPS export ABC transporter permease LptF
TIGR04408	LPS export ABC transporter permease LptG
TIGR04409	LPS export ABC transporter periplasmic protein LptC
TIGR04410	type II secretion system-associated lipoprotein
TIGR04411	type II secretion system protein GspN
TIGR04412	type II secretion system protein GspM
TIGR04413	type I-MYXAN CRISPR-associated protein Cmx8
TIGR04414	autotransporter strand-loop-strand O-heptosyltransferase
TIGR04416	group II intron reverse transcriptase/maturase
TIGR04417	polysaccharide biosynthesis PFTS motif protein
TIGR04418	primosomal replication protein N
TIGR04419	HemN-related non-iron pseudo-SAM protein PsgB
TIGR04421	FemAB family protein
TIGR04422	putative PLP-dependent aminotransferase
TIGR04423	TIGR04423 family type III CRISPR-associated protein
TIGR04424	McbB family protein
TIGR04426	dTDP-4-amino-4,6-dideoxy-D-glucose ammonia-lyase
TIGR04427	dTDP-4-dehydro-6-deoxyglucose aminotransferase
TIGR04428	tryptophan 2-C-methyltransferase
TIGR04429	Phr family secreted Rap phosphatase inhibitor
TIGR04430	outer membrane lipid asymmetry maintenance protein MlaD
TIGR04431	AacA4 family aminoglycoside N(6')-acetyltransferase
TIGR04432	Cfr family 23S rRNA (adenine(2503)-C(8))-methyltransferase
TIGR04433	UrcA family protein
TIGR04434	B12-binding domain/radical SAM domain-containing protein
TIGR04436	putative 2OG-Fe(II) oxygenase
TIGR04437	3-deoxy-D-manno-oct-2-ulosonate III transferase WaaZ
TIGR04438	TIGR04438 family Trp-rich protein
TIGR04439	putative histamine N-monooxygenase
TIGR04440	TIGR00180 family glycosyltransferase
TIGR04442	TIGR04442 family protein
TIGR04443	coenzyme gamma-F420-2:alpha-L-glutamate ligase
TIGR04445	LynF/TruF/PatF family peptide O-prenyltransferase
TIGR04446	anacyclamide/piricyclamide family prenylated cyclic peptide
TIGR04447	cyanobactin biosynthesis PatC/TenC/TruC family protein
TIGR04448	creatininase
TIGR04451	class II lantibiotic LanA
TIGR04452	TIGR04452 family lipoprotein
TIGR04453	Cys-rich protein
TIGR04454	TIGR04454 family lipoprotein
TIGR04456	LruC domain-containing protein
TIGR04457	lipoprotein LenA
TIGR04458	4-nitrotryptophan synthase
TIGR04459	type I toxin-antitoxin system toxin TisB
TIGR04460	enduracididine biosynthesis enzyme MppR
TIGR04461	enduracididine biosynthesis enzyme MppQ
TIGR04462	enduracididine biosynthesis enzyme MppP
TIGR04463	radical SAM/SPASM domain protein maturase
TIGR04464	LipL41-expression chaperone Lep
TIGR04465	F420-dependent hydroxymycolic acid dehydrogenase
TIGR04466	cytosylglucuronate decarboxylase
TIGR04467	hydroxymethylcytosylglucuronate/cytosylglucuronate synthase
TIGR04468	arginine 2,3-aminomutase
TIGR04469	CGA synthase-related protein
TIGR04470	radical SAM mobile pair protein B
TIGR04471	radical SAM mobile pair protein A
TIGR04472	radical SAM mobile pair system MarR family transcriptional regulator
TIGR04473	phenylalanine aminomutase (L-beta-phenylalanine forming)
TIGR04474	three-Cys-motif partner protein TcmP
TIGR04475	phenylalanine aminomutase (D-beta-phenylalanine forming)
TIGR04476	exosortase N
TIGR04477	XrtN system VIT domain-containing protein
TIGR04478	radical SAM/CxCxxxxC motif protein YfkAB
TIGR04479	PhpK family radical SAM P-methyltransferase
TIGR04480	D-proline reductase (dithiol) proprotein PrdA
TIGR04481	proline reductase-associated electron transfer protein PrdC
TIGR04482	proline reductase cluster protein PrdD
TIGR04483	D-proline reductase (dithiol) protein PrdB
TIGR04484	sulfur oxidation c-type cytochrome SoxA
TIGR04485	sulfur oxidation c-type cytochrome SoxX
TIGR04486	thiosulfohydrolase SoxB
TIGR04487	SoxY-related AACIE arm protein
TIGR04488	thiosulfate oxidation carrier protein SoxY
TIGR04489	exosortase O
TIGR04490	thiosulfate oxidation carrier complex protein SoxZ
TIGR04491	diol dehydratase reactivase subunit alpha
TIGR04492	iminophenyl-pyruvate dimer synthase VioB
TIGR04493	microcompartment protein PduM
TIGR04494	cytochrome c-550 PedF
TIGR04495	putative rSAM-modified RiPP, XyeA family
TIGR04496	XyeB family radical SAM/SPASM peptide maturase
TIGR04497	putative ATP-grasp target RiPP
TIGR04498	AbiV family abortive infection protein
TIGR04499	AbiA family abortive infection protein
TIGR04500	TIGR04500 family putative peptide maturation system protein
TIGR04501	microcompartment protein PduB
TIGR04502	microcompartment protein EutL
TIGR04503	putative mycofactocin-associated electron transfer flavoprotein
TIGR04504	SDR family mycofactocin-dependent oxidoreductase
TIGR04505	phosphate ABC transporter substrate-binding protein
TIGR04506	fluorothreonine transaldolase
TIGR04507	adenosyl-fluoride synthase
TIGR04508	7-carboxy-7-deazaguanine synthase
TIGR04509	putative modified peptide
TIGR04510	putative peptide modification system cyclase
TIGR04511	putative peptide maturation dehydrogenase
TIGR04512	STREFT protein
TIGR04513	VPAMP-CTERM sorting domain-containing protein
TIGR04514	GWxTD domain-containing protein
TIGR04515	P450-derived glycosyltransferase activator
TIGR04516	activator-dependent family glycosyltransferase
TIGR04517	radical SAM family RiPP maturation amino acid epimerase
TIGR04518	folate family ECF transporter S component
TIGR04520	energy-coupling factor transporter ATPase
TIGR04521	energy-coupling factor transporter ATPase
TIGR04523	helix-rich protein
TIGR04524	IgG-blocking virulence protein
TIGR04525	IgG-blocking protein M
TIGR04526	putative immunoglobulin-blocking virulence protein
TIGR04528	acido-empty-quinoprotein group A
TIGR04529	hemophore-related protein
TIGR04530	hemophore
TIGR04531	putative nonproteinogenic amino acid hydroxylase
TIGR04533	cyanoexosortase B system-associated protein
TIGR04538	cytochrome P450, cyclodipeptide synthase-associated
TIGR04539	tRNA-dependent cyclodipeptide synthase
TIGR04541	thiamine pyridinylase
TIGR04542	mycofactocin system GMC family oxidoreductase MftG
TIGR04543	2-ketoarginine methyltransferase
TIGR04544	beta-methylarginine biosynthesis bifunctional aminotransferase
TIGR04545	heme b synthase
TIGR04546	12,18-didecarboxysiroheme deacetylase
TIGR04547	MOLPALP family lipoprotein
TIGR04548	DnaD family protein
TIGR04550	soluble methane monooxygenase-binding protein MmoD
TIGR04551	TIGR04551 family protein
TIGR04552	TIGR04552 family protein
TIGR04553	putative selenate ABC transporter substrate-binding protein
TIGR04555	sulfite dehydrogenase
TIGR04557	quinoprotein dehydrogenase-associated SoxYZ-like carrier
TIGR04558	quinoprotein relay system zinc metallohydrolase 1
TIGR04559	quinoprotein relay system zinc metallohydrolase 2
TIGR04560	30S ribosomal protein THX
TIGR04561	TIGR04561 family membrane protein
TIGR04562	TIGR04552 family protein
TIGR04563	TIGR04563 family protein
TIGR04564	SYNERG-CTERM sorting domain-containing protein
TIGR04565	outer membrane beta-barrel domain-containing protein
TIGR04567	DNA-directed RNA polymerase subunit delta
TIGR04568	selenouridine synthase SelU-like subunit
TIGR04569	selenouridine synthase SelU-like subunit
TIGR04570	TIGR04570 family membrane protein
TIGR04571	lipid A Kdo2 1-phosphate O-methyltransferase
